AsOfDate,OpenDate,CloseDate,ShortName,PortfolioName,StrategyRefShortName,Strategy1RefShortName,Strategy2RefShortName,CustodianName,DirectionName,SecurityId,SecurityTypeName,SecName,StartQty,Qty,StartPrice,Price,StartFXRate,FXRate,MV_Local,MV_Base,PL_DTD,PL_QTD,PL_MTD,PL_YTD
01/08/23,04/03/20,NULL,Garfield,Garfield, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,592000,592000,96,96,1.33,1.33,568320,755865.6,92.504,10833.7294,92.504,41054.5854
01/08/23,04/03/20,NULL,Garfield,Garfield, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,88,88,96,96,1.33,1.33,84.48,112.3584,0.0138,1.6104,0.0138,6.1027
01/08/23,04/03/20,NULL,Garfield,Garfield, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,787500,787500,96,96,1.33,1.33,756000,1005480,123.0523,14411.4221,123.0523,54612.3074
01/08/23,04/03/20,NULL,Garfield,Garfield, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,505000,505000,96,96,1.33,1.33,484800,644784,78.9097,9241.6104,78.9097,35021.2257
01/08/23,04/03/20,NULL,Heather,Heather, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,508000,508000,96,96,1.33,1.33,487680,648614.4,79.3785,9296.511,79.3785,35229.2726
01/08/23,04/03/20,NULL,Heather,Heather, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,432857,432857,96,96,1.33,1.33,415542.72,552671.8176,67.6369,7921.3777,67.6369,30018.1835
01/08/23,18/11/20,NULL,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,CS Prime,Long,273482,Equity,MSFT,985,985,50,50,1,1,0,0,0,0,0,0
01/08/23,23/09/22,NULL,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,CS Prime,Long,273482,Equity,MSFT,71,71,50,50,1,1,0,0,0,0,0,0
01/08/23,23/09/22,NULL,Garfield,Garfield, Default,Asset,DefaultS2,Well Prime,Long,273482,Equity,MSFT,500,500,50,50,1,1,0,0,0,0,0,0
01/08/23,23/09/22,NULL,Heather,Heather, Default,Asset,DefaultS2,CS Prime,Long,273482,Equity,MSFT,429,429,50,50,1,1,0,0,0,0,0,0
